@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,428,0,193,0,1,1,0.689211,1,0.310789,0.816015,1,1,0.230769
1,424,4,193,0,1,0.990654,0.687196,0.990654,0.312804,0.811483,0.993559,0.997077,0.25
2,420,8,192,1,0.994819,0.981308,0.686275,0.981308,0.313725,0.807692,0.985507,0.995739,0.25641
3,418,10,192,1,0.994819,0.976636,0.685246,0.976636,0.314754,0.805395,0.982287,0.994247,0.257143
4,415,13,189,4,0.979275,0.969626,0.687086,0.969626,0.312914,0.804264,0.972625,0.996917,0.277778
5,412,16,189,4,0.979275,0.962617,0.685524,0.962617,0.314476,0.800777,0.967794,0.994651,0.285714
6,409,19,187,6,0.968912,0.955607,0.686242,0.955607,0.313758,0.798828,0.959742,0.995692,0.289474
7,408,20,185,8,0.958549,0.953271,0.688027,0.953271,0.311973,0.799216,0.954911,0.998282,0.292683
8,407,21,184,9,0.953368,0.950935,0.688663,0.950935,0.311337,0.798822,0.951691,0.999205,0.297297
9,406,22,181,12,0.937824,0.948598,0.691652,0.948598,0.308348,0.8,0.94525,1.003542,0.3
10,403,25,180,13,0.932642,0.941589,0.691252,0.941589,0.308748,0.79723,0.938808,1.002962,0.314286
11,403,25,178,15,0.92228,0.941589,0.693632,0.941589,0.306368,0.798811,0.935588,1.006414,0.315789
12,403,25,175,18,0.906736,0.941589,0.697232,0.941589,0.302768,0.801193,0.930757,1.011638,0.325581
13,402,26,172,21,0.891192,0.939252,0.700348,0.939252,0.299652,0.802395,0.924316,1.01616,0.351852
14,399,29,169,24,0.875648,0.932243,0.702465,0.932243,0.297535,0.801205,0.914654,1.01923,0.363636
15,399,29,168,25,0.870466,0.932243,0.703704,0.932243,0.296296,0.80201,0.913043,1.021028,0.4
16,395,33,166,27,0.860104,0.922897,0.7041,0.922897,0.2959,0.798787,0.903382,1.021603,0.636364
17,391,37,165,28,0.854922,0.913551,0.703237,0.913551,0.296763,0.794715,0.89533,1.020351,0.638889
18,385,43,164,29,0.849741,0.899533,0.701275,0.899533,0.298725,0.788127,0.884058,1.017504,0.645833
19,374,54,156,37,0.80829,0.873832,0.70566,0.873832,0.29434,0.780793,0.853462,1.023867,0.646409
20,364,64,150,43,0.777202,0.850467,0.708171,0.850467,0.291829,0.772824,0.827697,1.02751,0.648649
21,361,67,149,44,0.772021,0.843458,0.707843,0.843458,0.292157,0.769723,0.821256,1.027034,0.653846
22,358,70,146,47,0.756477,0.836449,0.710317,0.836449,0.289683,0.76824,0.811594,1.030624,0.664671
23,341,87,144,49,0.746114,0.796729,0.703093,0.796729,0.296907,0.746988,0.780998,1.020142,0.666667
24,335,93,138,55,0.715026,0.78271,0.708245,0.78271,0.291755,0.743618,0.761675,1.027618,0.675676
25,334,94,136,57,0.704663,0.780374,0.710638,0.780374,0.289362,0.743875,0.756844,1.03109,0.678261
26,325,103,132,61,0.683938,0.759346,0.71116,0.759346,0.28884,0.734463,0.73591,1.031846,0.68
27,324,104,127,66,0.658031,0.757009,0.718404,0.757009,0.281596,0.737201,0.726248,1.042357,0.714286
28,322,106,127,66,0.658031,0.752336,0.717149,0.752336,0.282851,0.734322,0.723027,1.040537,0.716298
29,280,148,113,80,0.585492,0.654206,0.712468,0.654206,0.287532,0.682095,0.63285,1.033745,0.717742
30,238,190,98,95,0.507772,0.556075,0.708333,0.556075,0.291667,0.623037,0.541063,1.027745,0.718876
31,198,230,83,110,0.430052,0.462617,0.704626,0.462617,0.295374,0.558533,0.452496,1.022367,0.744681
32,192,236,78,115,0.404145,0.448598,0.711111,0.448598,0.288889,0.550143,0.434783,1.031776,0.745455
