@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,428,0,193,0,1,1,0.689211,1,0.310789,0.816015,1,1,0
1,392,36,169,24,0.875648,0.915888,0.698752,0.915888,0.301248,0.79272,0.903382,1.013844,0.047619
2,391,37,167,26,0.865285,0.913551,0.700717,0.913551,0.299283,0.793103,0.898551,1.016694,0.055556
3,390,38,165,28,0.854922,0.911215,0.702703,0.911215,0.297297,0.793489,0.89372,1.019576,0.076923
4,389,39,165,28,0.854922,0.908879,0.702166,0.908879,0.297834,0.792261,0.89211,1.018797,0.083333
5,384,44,164,29,0.849741,0.897196,0.70073,0.897196,0.29927,0.786885,0.882448,1.016713,0.095238
6,384,44,162,31,0.839378,0.897196,0.703297,0.897196,0.296703,0.788501,0.879227,1.020438,0.111111
7,383,45,160,33,0.829016,0.89486,0.705341,0.89486,0.294659,0.788877,0.874396,1.023403,0.125
8,380,48,156,37,0.80829,0.88785,0.708955,0.88785,0.291045,0.788382,0.863124,1.028648,0.142857
9,379,49,155,38,0.803109,0.885514,0.709738,0.885514,0.290262,0.787942,0.859903,1.029783,0.2
10,378,50,152,41,0.787565,0.883178,0.713208,0.883178,0.286792,0.789144,0.853462,1.034817,0.25
11,375,53,152,41,0.787565,0.876168,0.711575,0.876168,0.288425,0.78534,0.848631,1.032449,0.333333
12,371,57,149,44,0.772021,0.866822,0.713462,0.866822,0.286538,0.7827,0.837359,1.035186,0.357143
13,368,60,148,45,0.766839,0.859813,0.713178,0.859813,0.286822,0.779661,0.830918,1.034775,0.420455
14,362,66,145,48,0.751295,0.845794,0.714004,0.845794,0.285996,0.774332,0.816425,1.035973,0.422535
15,356,72,141,52,0.73057,0.831776,0.716298,0.831776,0.283702,0.76973,0.800322,1.039301,0.538462
16,352,76,135,58,0.699482,0.82243,0.722793,0.82243,0.277207,0.769399,0.784219,1.048725,0.54386
